OBJECTID,MUNI_ID,MMSD_OWNER,MUNI_FEATURE_TYPE,RIM_ELEV,SIZE,STATUS,MUNI_OWNER,MMSD_FEATURE,YEAR_RECEIVED,NOTES,X_COORD,Y_COORD
1, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511625.574,434654.0883
2, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511591.298,434641.8147
3, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511577.575,434653.7241
4, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511563.075,434677.4672
5, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511814.72,434655.6529
6, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511814.554,434679.3534
7, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511588.12,434667.2835
8, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511733.192,435087.0707
9, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511761.82,435096.7151
10, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511402.003,435158.9341
11, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511371.762,435158.6611
12, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511594.697,435463.3301
13, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511632.004,435481.3646
14, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511399.776,435438.3879
15, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511369.616,435438.1543
16, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511409.65,435718.0642
17, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511367.454,435717.7069
18, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511972.842,434843.7165
19, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511463.64,436049.8657
20, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511438.82,436045.0741
21, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511483.323,435796.2212
22, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511528.328,435811.2369
23, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511647.075,435847.5807
24, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511700.818,435855.6712
25, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511700.252,435878.3611
26, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511918.549,435882.8966
27, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511260.207,435867.3454
28, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511421.753,435848.041
29, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511024.133,435867.8372
30, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510971.181,435895.5183
31, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510831.474,435832.4039
32, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510830.871,435855.975
33, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505477.522,435247.4648
34, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505511.243,435315.6858
35, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505918.556,436865.222
36, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511403.932,433934.1547
37, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511381.019,433933.6442
38, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511495.402,433801.4736
39, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511377.949,434333.8452
40, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511401.697,434333.9033
41, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511402.133,434342.9561
42, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511398.791,434714.9055
43, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511375.133,434714.6391
44, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511820.204,434805.3961
45, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511822.651,434772.0477
46, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511680.688,435191.5472
47, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510973.049,435818.1257
48, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510040.482,430049.0601
49, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510036.3,430144.7932
50, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510036.639,430223.9682
